raceId,driverId,lap,position,time,milliseconds
933,830,47,7,"1:12.976",72976
933,830,48,7,"1:13.108",73108
933,830,49,7,"1:12.972",72972
933,830,50,7,"1:12.767",72767
933,830,51,7,"1:13.248",73248
933,830,52,7,"1:12.829",72829
933,830,53,7,"1:12.820",72820
933,830,54,7,"1:12.977",72977
933,830,55,7,"1:12.694",72694
933,830,56,7,"1:12.604",72604
933,830,57,7,"1:12.528",72528
933,830,58,7,"1:12.709",72709
933,830,59,7,"1:13.021",73021
933,830,60,7,"1:13.035",73035
933,830,61,7,"1:12.774",72774
933,830,62,7,"1:12.494",72494
933,830,63,7,"1:12.464",72464
933,830,64,7,"1:12.349",72349
933,830,65,7,"1:12.751",72751
933,830,66,7,"1:13.444",73444
933,830,67,7,"1:13.420",73420
933,830,68,7,"1:13.219",73219
933,830,69,8,"1:16.362",76362
933,830,70,8,"1:14.303",74303
933,822,1,7,"1:39.657",99657
933,822,2,7,"2:18.218",138218
933,822,3,7,"2:04.035",124035
933,822,4,7,"1:59.005",119005
933,822,5,7,"1:52.664",112664
933,822,6,7,"1:46.724",106724
933,822,7,7,"1:16.416",76416
933,822,8,7,"1:14.847",74847
933,822,9,7,"1:13.599",73599
933,822,10,7,"1:13.480",73480
933,822,11,7,"1:13.603",73603
933,822,12,7,"1:13.438",73438
933,822,13,7,"1:13.128",73128
933,822,14,7,"1:13.545",73545
933,822,15,6,"1:13.430",73430
933,822,16,6,"1:13.080",73080
933,822,17,6,"1:13.130",73130
933,822,18,6,"1:13.089",73089
933,822,19,6,"1:13.154",73154
933,822,20,6,"1:13.092",73092
933,822,21,6,"1:13.430",73430
933,822,22,6,"1:12.973",72973
933,822,23,6,"1:13.327",73327
933,822,24,6,"1:13.311",73311
933,822,25,5,"1:12.940",72940
933,822,26,5,"1:16.073",76073
